시군구,구,동,단지명,전용면적(㎡),계약년월,단가,계약일,가격,층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
서울특별시,강남구,압구정동,"현대6차(78~81,83,84,86,87동)",157,202302,3694.267516,14,580000,4,1978,압구정로 201,,중개거래,서울 강남구
서울특별시,서초구,반포동,반포자이,194.515,202302,2724.7256,28,530000,17,2009,신반포로 270,,중개거래,서울 서초구
서울특별시,강남구,압구정동,"현대7차(73~77,82,85동)",157.36,202302,3171.0727,4,499000,11,1979,압구정로 201,,중개거래,서울 강남구
서울특별시,용산구,한남동,트윈빌에이동,222.69,202302,2020.746329,20,450000,5,2008,유엔빌리지길 11,,직거래,-
서울특별시,서초구,반포동,반포주공1단지,104.89,202302,4099.532844,17,430000,5,1973,신반포로 9,,중개거래,서울 서초구
서울특별시,서초구,반포동,반포힐스테이트,155.38,202302,2703.050586,16,420000,23,2012,신반포로16길 15-20,,중개거래,서울 서초구
서울특별시,서초구,잠원동,청구빌라트,242.16,202302,1713.74298,22,415000,6,1996,잠원로 177,,중개거래,서울 서초구
서울특별시,용산구,이촌동,한강맨숀,120.56,202302,3276.376908,7,395000,5,1971,이촌로 248,,중개거래,서울 용산구
서울특별시,강남구,도곡동,타워팰리스3,141.648,202302,2506.212583,21,355000,53,2004,언주로30길 26,,중개거래,서울 강남구
서울특별시,강남구,압구정동,"현대1차(12,13,21,22,31,32,33동)",131.48,202302,2700.030423,17,355000,2,1976,압구정로29길 71,,중개거래,서울 강남구
서울특별시,강남구,청담동,현대한강빌라,136.26,202302,2568.618817,23,350000,7,1992,도산대로85길 56,,중개거래,서울 강남구
서울특별시,서초구,잠원동,신반포4,137.1,202302,2552.881109,17,350000,8,1979,잠원로 37-48,,중개거래,서울 서초구
서울특별시,서초구,반포동,래미안퍼스티지,84.93,202302,4003.296833,24,340000,15,2009,반포대로 275,,중개거래,서울 서초구
서울특별시,송파구,잠실동,갤러리아팰리스,164.3,202302,2069.385271,16,340000,24,2005,올림픽로 212,,중개거래,서울 송파구
서울특별시,강남구,대치동,한보미도맨션1,128.01,202302,2640.418717,17,338000,13,1983,삼성로 150,,중개거래,서울 강남구
서울특별시,강남구,압구정동,신현대9차,111.38,202302,3007.721314,18,335000,9,1982,압구정로 151,,중개거래,서울 강남구
서울특별시,강남구,청담동,청담자이,89.115,202302,3703.08029,15,330000,32,2011,영동대로138길 12,,중개거래,서울 강남구
서울특별시,서초구,반포동,래미안퍼스티지,84.93,202302,3885.552808,5,330000,10,2009,반포대로 275,,중개거래,서울 서초구
서울특별시,서초구,반포동,반포리체,106.148,202302,3108.866865,13,330000,31,2010,고무래로 35,,중개거래,서울 서초구
서울특별시,강남구,역삼동,개나리래미안,114.65,202302,2834.714348,4,325000,10,2006,역삼로 306,,중개거래,서울 강남구
서울특별시,서초구,반포동,래미안퍼스티지,84.93,202302,3826.680796,16,325000,18,2009,반포대로 275,,중개거래,서울 서초구
서울특별시,용산구,한강로3가,센트럴파크,114.8905,202302,2785.260748,23,320000,27,2020,서빙고로 17,,중개거래,서울 용산구
서울특별시,강남구,개포동,래미안블레스티지,99.991,202302,3150.283526,16,315000,27,2019,선릉로 8,,중개거래,서울 강남구
서울특별시,서초구,반포동,래미안퍼스티지,84.85,202302,3712.433707,4,315000,16,2009,반포대로 275,,중개거래,서울 서초구
서울특별시,서초구,반포동,래미안퍼스티지,84.85,202302,3712.433707,4,315000,16,2009,반포대로 275,20230304,중개거래,서울 서초구
서울특별시,서초구,반포동,래미안퍼스티지,84.93,202302,3708.936771,21,315000,19,2009,반포대로 275,,중개거래,"서울 강남구, 서울 서초구"
서울특별시,강남구,대치동,한보미도맨션2,115.05,202302,2642.329422,23,304000,10,1985,삼성로 150,,중개거래,서울 강남구
서울특별시,서초구,반포동,반포자이,84.943,202302,3496.462334,8,297000,26,2009,신반포로 270,,중개거래,서울 서초구
서울특별시,서초구,잠원동,반포센트럴자이,84.95,202302,3496.17422,6,297000,12,2020,반포대로 310-6,,중개거래,서울 서초구
서울특별시,송파구,가락동,헬리오시티,130.06,202302,2229.74012,16,290000,32,2018,송파대로 345,,중개거래,서울 송파구
서울특별시,양천구,목동,현대하이페리온,180.42,202302,1596.275357,25,288000,17,2003,목동동로 257,,중개거래,서울 양천구
서울특별시,강남구,대치동,쌍용대치2,120.76,202302,2376.614773,11,287000,7,1983,영동대로 220,,중개거래,서울 강남구
서울특별시,강남구,도곡동,도곡렉슬,114.9931,202302,2478.409574,6,285000,2,2006,선릉로 221,,중개거래,서울 강남구
서울특별시,서초구,서초동,현대슈퍼빌,214.92,202302,1326.074819,18,285000,14,2003,서초중앙로 15,,중개거래,서울 서초구
서울특별시,강남구,개포동,현대2,131.83,202302,2154.289615,18,284000,3,1986,언주로 107,,중개거래,서울 강남구
서울특별시,강남구,일원동,디에이치포레센트,121.95,202302,2328.823288,6,284000,7,2021,개포로110길 38,,중개거래,서울 강남구
