시군구,번지,본번,부번,단지명,전용면적,계약년월,계약일,거래금액,층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
강원특별자치도 강릉시 견소동,202,202,0,송정한신,59.8,202308,8,"23,000",9,1997,경강로2539번길 8,, ,중개거래,강릉시
강원특별자치도 강릉시 견소동,202,202,0,송정한신,84.945,202308,14,"31,000",13,1997,경강로2539번길 8,, ,중개거래,강릉시
강원특별자치도 강릉시 견소동,202,202,0,송정한신,43.38,202308,30,"16,400",10,1997,경강로2539번길 8,, ,중개거래,강릉시
강원특별자치도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,202308,19,"24,500",5,2005,경강로2539번길 23,, ,중개거래,강릉시
강원특별자치도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202308,22,"28,500",4,2005,경강로2539번길 22,, ,중개거래,강릉시
강원특별자치도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202308,29,"32,500",15,2005,경강로2539번길 22,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,163.9852,202308,4,"60,000",4,2009,화부산로99번길 12,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1983,1983,0,강릉교동롯데캐슬2단지,84.9855,202308,17,"37,500",4,2009,화부산로111번길 24,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1984,1984,0,강릉교동풍림아이원아파트,66.0388,202308,9,"35,400",10,2017,화부산로40번길 29,, ,중개거래,서울 서초구
강원특별자치도 강릉시 교동,1984,1984,0,강릉교동풍림아이원아파트,66.0388,202308,9,"31,000",7,2017,화부산로40번길 29,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1766,1766,0,교동3주공,59.84,202308,24,"27,500",2,2002,교동광장로 138-12,, ,직거래,-
강원특별자치도 강릉시 교동,1766,1766,0,교동3주공,59.74,202308,30,"28,800",14,2002,교동광장로 138-12,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,18-16,18,16,교동대림,84.98,202308,22,"22,400",3,1997,수리골길17번길 21,20230901, ,중개거래,강릉시
강원특별자치도 강릉시 교동,18-16,18,16,교동대림,59.84,202308,22,"17,500",11,1997,수리골길17번길 21,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,18-16,18,16,교동대림,84.98,202308,22,"22,400",3,1997,수리골길17번길 21,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1773,1773,0,부영1,49.92,202308,15,"18,000",8,1999,정원로 53-4,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1775,1775,0,부영6,84.9763,202308,21,"29,800",5,2003,정원로 53-9,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,3-37,37,3,예성그린1,56.16,202308,23,"11,000",4,1995,가작로252번길 22,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,175-1,175,1,오뚜기,60.43,202308,7,"9,400",4,1979,율곡로2874번길 5,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1034,1034,0,정아타워맨션,84.95,202308,9,"16,000",2,1992,화부산로 29,20230828, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1034,1034,0,정아타워맨션,84.95,202308,9,"16,000",2,1992,화부산로 29,, ,중개거래,강릉시
강원특별자치도 강릉시 남문동,183-2,183,2,삼익그린맨션,84.08,202308,3,"17,500",3,1992,홍제로 7-17,, ,중개거래,강릉시
강원특별자치도 강릉시 남문동,183-2,183,2,삼익그린맨션,84.08,202308,8,"18,000",1,1992,홍제로 7-17,, ,중개거래,강릉시
강원특별자치도 강릉시 내곡동,616,616,0,강부2,41.18,202308,12,"7,000",2,1988,관대길 63,, ,중개거래,강릉시
강원특별자치도 강릉시 내곡동,1-75,75,1,관동2,49.94,202308,4,"7,700",2,1992,남산초교길12번길 11,, ,중개거래,강릉시
강원특별자치도 강릉시 내곡동,623,623,0,내곡주공,39.3,202308,1,"10,500",5,1989,관대길16번길 6,, ,중개거래,강릉시
강원특별자치도 강릉시 내곡동,476,476,0,내곡한라,84.95,202308,2,"18,000",9,1997,강변로 114,, ,직거래,-
강원특별자치도 강릉시 내곡동,476,476,0,내곡한라,59.97,202308,16,"17,000",11,1997,강변로 114,, ,중개거래,강릉시
강원특별자치도 강릉시 내곡동,476,476,0,내곡한라,84.95,202308,17,"23,000",8,1997,강변로 114,, ,중개거래,강릉시
강원특별자치도 강릉시 노암동,610,610,0,노암남산현대,59.84,202308,1,"16,000",4,1998,남부로125번길 11,, ,중개거래,강릉시
강원특별자치도 강릉시 성남동,110-3,110,3,동호회관,69.6,202308,4,"14,700",2,1987,금성로45번길 12,20230825, ,중개거래,강릉시
강원특별자치도 강릉시 성남동,110-3,110,3,동호회관,69.6,202308,4,"14,700",2,1987,금성로45번길 12,, ,중개거래,강릉시
강원특별자치도 강릉시 송정동,1061,1061,0,경포대신도브래뉴로얄카운티,155.837,202308,21,"86,500",7,2007,해안로 93-8,, ,중개거래,강릉시
강원특별자치도 강릉시 송정동,940-23,940,23,대림맨션,84.99,202308,1,"12,000",1,1991,남강초교2길 44,, ,직거래,-
강원특별자치도 강릉시 송정동,940-23,940,23,대림맨션,84.99,202308,28,"22,000",13,1991,남강초교2길 44,, ,중개거래,강릉시
강원특별자치도 강릉시 송정동,940,940,0,삼우은성,84.96,202308,16,"21,500",10,1992,남강초교1길 55,, ,중개거래,강릉시
강원특별자치도 강릉시 송정동,1064,1064,0,송정아이파크,84.93,202308,19,"46,500",4,2019,경강로 2511,, ,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,336-1,336,1,근화,59.36,202308,28,"10,500",3,1997,영진2길 12-3,, ,직거래,-
강원특별자치도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,43.2,202308,4,"6,800",15,1999,연주로 132,, ,직거래,-
강원특별자치도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,30.24,202308,7,"6,500",10,1999,연주로 132,, ,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,30.24,202308,14,"6,500",12,1999,연주로 132,, ,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,30.24,202308,14,"7,000",7,1999,연주로 132,, ,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,30.24,202308,30,"5,700",11,1999,연주로 132,, ,직거래,-
강원특별자치도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,30.24,202308,30,"5,400",2,1999,연주로 132,, ,직거래,-
강원특별자치도 강릉시 연곡면 영진리,11,11,0,영진부영1,59.987,202308,14,"19,500",2,2005,영진3길 38,, ,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,12,12,0,영진부영2,59.987,202308,17,"15,000",5,2005,영진3길 43,, ,직거래,-
강원특별자치도 강릉시 연곡면 영진리,12,12,0,영진부영2,59.987,202308,22,"16,700",3,2005,영진3길 43,, ,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,12,12,0,영진부영2,59.987,202308,25,"20,000",8,2005,영진3길 43,, ,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,380,380,0,영진부영3,84.9157,202308,16,"25,200",5,2008,영진3길 15,, ,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,381,381,0,영진코아루비치테라스,36.3455,202308,16,"22,400",16,2019,홍질목길 12,, ,직거래,-
강원특별자치도 강릉시 연곡면 영진리,381,381,0,영진코아루비치테라스,29.9674,202308,29,"14,000",10,2019,홍질목길 12,, ,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,381,381,0,영진코아루비치테라스,28.1602,202308,29,"15,600",16,2019,홍질목길 12,, ,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,381,381,0,영진코아루비치테라스,29.9674,202308,29,"15,400",15,2019,홍질목길 12,, ,중개거래,강릉시
강원특별자치도 강릉시 유천동,781,781,0,강릉유천유승한내들더퍼스트,96.3359,202308,3,"64,500",30,2021,선수촌로 79-14,, ,중개거래,강릉시
강원특별자치도 강릉시 유천동,778,778,0,엘에이치선수촌8단지,74.88,202308,1,"39,950",7,2018,선수촌로 113,, ,중개거래,강릉시
강원특별자치도 강릉시 유천동,778,778,0,엘에이치선수촌8단지,84.77,202308,5,"49,200",12,2018,선수촌로 113,, ,중개거래,강릉시
강원특별자치도 강릉시 임당동,1-67,67,1,임당상가,70.75,202308,28,"9,200",3,1984,문화의길7번길 8,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,711,711,0,강릉더샵,84.94,202308,5,"34,500",2,2014,입암로29번길 11,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,711,711,0,강릉더샵,84.94,202308,22,"31,800",1,2014,입암로29번길 11,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,321,321,0,강릉입암동금호어울림,157.22,202308,3,"43,000",15,2007,성덕로 328-15,20230830, ,직거래,-
