사업명,거창군 시설과리공단_거창읍봉안당
,물가상승률,인건비상승률,수입증가율1.1%,인건비상승률,시작년도
,1.1%,4.14%,1.1%,0.0%,2022,(단위:천원)
현행
구분,2022,2023,2024,2025,2026,계,평균
영업이익,40000.0,40440.0,40885.0,41335.0,41789.0,204449.0,40889.8
영업비용,52015.0,53956.0,55974.0,58075.0,60258.0,280278.0,56055.6
인건비,45015.0,46879.0,48819.0,50841.0,52945.0,244499.0,48899.8
운영비,7000.0,7077.0,7155.0,7234.0,7313.0,35779.0,7155.8
영업이익,-12015.0,-13516.0,-15089.0,-16740.0,-18469.0,-75829.0,-15165.8
경상수지비율,76.9%,74.95%,73.04%,71.18%,69.35%,365.42%,73.08%
공단방식
구분,2022,2023,2024,2025,2026,계,평균
영업이익,40000.0,40440.0,40885.0,41335.0,41789.0,204449.0,40889.8
영업비용,186317.0,186317.0,186317.0,186317.0,186317.0,931585.0,186317.0
인건비,169497.0,169497.0,169497.0,169497.0,169497.0,847485.0,169497.0
운영비,16820.0,16820.0,16820.0,16820.0,16820.0,84100.0,16820.0
영업이익,-146317.0,-145877.0,-145432.0,-144982.0,-144528.0,-727136.0,-145427.2
경상수지비율,21.47%,21.7%,21.94%,22.19%,22.43%,109.73%,21.95%
수지분석 결과
현행영업이익,-12015.0,-13516.0,-15089.0,-16740.0,-18469.0,-75829.0,-15165.8
공단영업이익,-146317.0,-145877.0,-145432.0,-144982.0,-144528.0,-727136.0,-145427.2
수지개선,-134302.0,-132361.0,-130343.0,-128242.0,-126059.0,-651307.0,-130261.4
미충족,경상수지 비율:,21.95%,불가능
