사업명,광주광역시 서구_재활용
,운영비상승률(대체로 물가상승률 적용),인건비상승률,수입증가율(대체로 현행/공단 같이 적용,공단 인건비상승률,,시작년도
,4.97%,4.14%,6.06%,3.71%,,2022,(단위:천원)
현행
구분,2022,2023,2024,2025,2026,계,평균
영업이익,"1,203,700","1,276,644","1,354,009","1,436,062","1,523,087","6,793,502","1,358,700"
영업비용,"2,627,666","2,757,928","2,894,650","3,038,152","3,188,772","14,507,168","2,901,434"
인건비,"40,144","41,806","43,537","45,339","47,216","218,042","43,608"
운영비,"2,587,522","2,716,122","2,851,113","2,992,813","3,141,556","14,289,126","2,857,825"
영업이익,"-1,423,966","-1,481,284","-1,540,641","-1,602,090","-1,665,685","-7,713,666","-1,542,733"
경상수지비율,45.81%,46.29%,46.78%,47.27%,47.76%,233.91%,46.78%
공단방식
구분,2022,2023,2024,2025,2026,계,평균
영업이익,"1,203,700","1,276,644","1,354,009","1,436,062","1,523,087","6,793,502","1,358,700"
영업비용,"2,565,651","2,686,813","2,814,043","2,947,664","3,088,013","14,102,184","2,820,437"
인건비,"1,460,287","1,514,464","1,570,650","1,628,921","1,689,354","7,863,676","1,572,735"
운영비,"1,105,364","1,172,349","1,243,393","1,318,743","1,398,659","6,238,508","1,247,702"
영업이익,"-1,361,951","-1,410,169","-1,460,034","-1,511,602","-1,564,926","-7,308,682","-1,461,736"
경상수지비율,46.92%,47.52%,48.12%,48.72%,49.32%,240.59%,48.12%
수지분석 결과
현행영업이익,"-1,423,966","-1,481,284","-1,540,641","-1,602,090","-1,665,685","-7,713,666","-1,542,733"
공단영업이익,"-1,361,951","-1,410,169","-1,460,034","-1,511,602","-1,564,926","-7,308,682","-1,461,736"
수지개선,"62,015","71,115","80,607","90,488","100,759","404,984","80,997"
미충족,경상수지 비율:,48.12%,불가능
