지역,아파트,면적,층,가격
강원도 강릉시,송정한신,116.175,10,18500
강원도 강릉시,강릉교동롯데캐슬1단지,135.1727,9,34300
강원도 강릉시,강릉교동롯데캐슬2단지,118.0686,2,32500
강원도 강릉시,교동이-편한세상,123.7566,3,32500
강원도 강릉시,현대하이빌,122.74,6,28500
강원도 강릉시,삼익그린맨션,164.754,12,21000
강원도 강릉시,양우내안애,114.6085,12,24800
강원도 강릉시,양우내안애,114.6085,7,24800
강원도 강릉시,강릉입암동금호어울림,123.09,8,27900
강원도 강릉시,이안강릉타운,122.72,8,25000
강원도 강릉시,강릉홍제힐스테이트,129.689,9,27200
강원도 강릉시,강릉홍제힐스테이트,129.689,8,29900
강원도 속초시,명지미래힐,118.0531,5,27500
강원도 속초시,현대1,121.98,9,16000
강원도 속초시,현대2,123.27,15,20500
강원도 속초시,보람레이크더하임,156.76,1,29500
강원도 양구군,서희스타힐스,114.4,10,28500
강원도 영월군,드림채,121.473,16,25500
강원도 원주시,원주개운휴먼시아1단지,116.92,4,25000
강원도 원주시,원주힐스테이트,133.9912,16,26000
강원도 원주시,원주힐스테이트,137.4292,14,24000
강원도 원주시,성일,114.99,1,11000
강원도 원주시,두산,134.97,12,19000
강원도 원주시,두산,134.97,13,17500
강원도 원주시,중앙하이츠아파트,133.8208,6,22500
강원도 원주시,동보노빌리티2,118.747,15,16500
강원도 원주시,무실e-편한세상,124.1326,7,37000
강원도 원주시,무실e-편한세상,153.7215,14,44600
강원도 원주시,요진보네르카운티,117.13,5,24700
강원도 원주시,요진보네르카운티,117.13,1,25000
강원도 원주시,반곡벽산블루밍1차,123.52,14,24000
강원도 원주시,원주반곡아이파크,117.4263,12,28800
강원도 원주시,원주반곡아이파크,158.4784,11,40700
강원도 원주시,원주반곡아이파크,117.4263,5,25500
강원도 원주시,원주신일유토빌,116.161,20,20000
강원도 원주시,원주더샾아파트,157.316,5,34000
강원도 원주시,원주더샾아파트,123.34,4,25700
강원도 원주시,건영,133.92,15,15000
강원도 춘천시,춘천KCC스위첸,125.17,7,24200
강원도 춘천시,한일유앤아이,127.9717,11,28000
강원도 춘천시,현대,134.99,5,23500
강원도 춘천시,현진에버빌1차,114.126,10,28250
강원도 춘천시,현진에버빌2차,126.25,13,35500
강원도 춘천시,현진에버빌2차,126.25,6,31200
강원도 춘천시,현진에버빌2차,126.25,2,29500
강원도 춘천시,보배,126.57,1,15000
강원도 춘천시,롯데인벤스,173.7,9,36500
강원도 춘천시,롯데인벤스,122.13,15,20500
강원도 춘천시,롯데인벤스,122.13,14,25000
강원도 춘천시,금호2차,116.94,1,12000
강원도 춘천시,금호2차,134.43,5,15900
강원도 춘천시,금호2차,134.43,3,14900
강원도 춘천시,금호2차,116.94,6,14500
강원도 춘천시,금호2차,116.94,11,16000
강원도 춘천시,쌍용스윗닷홈,123.578,2,27000
강원도 춘천시,쌍용스윗닷홈,123.578,16,28000
강원도 춘천시,쌍용스윗닷홈,123.578,14,27900
강원도 춘천시,유승한내들,116.6708,15,32500
강원도 춘천시,중앙하이츠빌1단지,120.2572,6,25800
강원도 춘천시,휴먼시아남춘천1단지,121.95,11,34000
강원도 춘천시,동아,135,3,13800
강원도 춘천시,춘천더샵,127.2412,18,28500
강원도 춘천시,춘천더샵,145.5773,25,30900
강원도 춘천시,한신,128.79,14,16500
강원도 춘천시,한신,128.79,13,15500
경기도 가평군,청평세양청마루,121.056,12,26500
