시군구,번지,본번,부번,단지명,면적,계약년월,계약일,가격,층,건축년도,도로명
강원도 강릉시 견소동,202,202,0,송정한신,59.8,201910,4,"10,900",5,1997,경강로2539번길 8
강원도 강릉시 견소동,202,202,0,송정한신,116.175,201910,31,"18,500",10,1997,경강로2539번길 8
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,201910,5,"25,000",6,2005,경강로2539번길 22
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,201910,12,"20,600",3,2005,경강로2539번길 22
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,201910,20,"20,500",1,2005,경강로2539번길 22
강원도 강릉시 교동,1984,1984,0,강릉 교동 풍림아이원 아파트,84.9964,201910,5,"29,200",14,2017,화부산로40번길 29
강원도 강릉시 교동,1982,1982,0,강릉교동롯데캐슬1단지,135.1727,201910,21,"34,300",9,2009,화부산로99번길 12
강원도 강릉시 교동,1983,1983,0,강릉교동롯데캐슬2단지,118.0686,201910,1,"32,500",2,2009,화부산로111번길 24
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,201910,2,"16,200",10,1999,가작로 78
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,201910,18,"21,550",9,1999,가작로 78
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,201910,20,"21,800",4,1999,가작로 78
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,201910,24,"17,500",4,1999,가작로 78
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,201910,29,"20,300",1,1999,가작로 78
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,201910,31,"18,600",3,1999,가작로 78
강원도 강릉시 교동,1767,1767,0,교동2현대,84.97,201910,12,"20,400",1,1999,교동광장로 138-15
강원도 강릉시 교동,1767,1767,0,교동2현대,84.97,201910,19,"22,500",4,1999,교동광장로 138-15
강원도 강릉시 교동,1766,1766,0,교동3주공,59.86,201910,1,"16,600",10,2002,교동광장로 138-12
강원도 강릉시 교동,1766,1766,0,교동3주공,59.84,201910,21,"16,100",7,2002,교동광장로 138-12
강원도 강릉시 교동,1766,1766,0,교동3주공,59.86,201910,21,"17,300",4,2002,교동광장로 138-12
강원도 강릉시 교동,1766,1766,0,교동3주공,59.79,201910,31,"16,150",2,2002,교동광장로 138-12
강원도 강릉시 교동,357,357,0,교동이-편한세상,84.7155,201910,20,"25,000",15,2006,종합운동장길 92
강원도 강릉시 교동,357,357,0,교동이-편한세상,84.7155,201910,21,"25,000",3,2006,종합운동장길 92
강원도 강릉시 교동,357,357,0,교동이-편한세상,123.7566,201910,22,"32,500",3,2006,종합운동장길 92
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,201910,6,"20,000",1,2001,하슬라로 124
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,201910,6,"17,300",1,2001,하슬라로 124
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,201910,8,"16,800",11,2001,하슬라로 124
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,201910,15,"19,000",7,2001,하슬라로 124
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,201910,16,"19,600",3,2001,하슬라로 124
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,201910,18,"20,300",4,2001,하슬라로 124
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,201910,25,"19,400",7,2001,하슬라로 124
강원도 강릉시 교동,1762,1762,0,부영5,84.93,201910,11,"19,500",15,2001,교동광장로 163
강원도 강릉시 교동,1762,1762,0,부영5,84.93,201910,19,"19,600",6,2001,교동광장로 163
강원도 강릉시 교동,1775,1775,0,부영6,84.9763,201910,9,"20,000",10,2003,정원로 53-9
강원도 강릉시 교동,1775,1775,0,부영6,84.9763,201910,17,"20,000",13,2003,정원로 53-9
강원도 강릉시 교동,1775,1775,0,부영6,84.9763,201910,28,"16,950",1,2003,정원로 53-9
강원도 강릉시 교동,348-6,348,6,서일2,27.75,201910,11,"4,600",1,1987,수리골길17번길 35
강원도 강릉시 교동,Jan-46,46,1,한신,59.84,201910,18,"13,200",16,1997,명륜로 95-7
강원도 강릉시 교동,828-19,828,19,현대,84.945,201910,10,"14,700",5,1992,옛강일길 41
강원도 강릉시 교동,1759,1759,0,현대하이빌,122.74,201910,10,"28,500",6,1999,원대로128번길 14
강원도 강릉시 남문동,183-2,183,2,삼익그린맨션,164.754,201910,15,"21,000",12,1992,홍제로 7-17
강원도 강릉시 내곡동,469,469,0,내곡동현대,59.84,201910,2,"14,500",4,1998,범일로 645
강원도 강릉시 내곡동,469,469,0,내곡동현대,84.865,201910,8,"17,100",14,1998,범일로 645
강원도 강릉시 내곡동,469,469,0,내곡동현대,84.99,201910,23,"15,100",3,1998,범일로 645
강원도 강릉시 내곡동,Apr-75,75,4,내곡시영,39.3,201910,11,"4,000",5,1990,남산초교길 22
강원도 강릉시 내곡동,476,476,0,내곡한라,59.97,201910,31,"11,700",9,1997,강변로 114
강원도 강릉시 노암동,835,835,0,노암2주공,42.74,201910,9,"4,200",1,1984,노가니남길 25
강원도 강릉시 노암동,605,605,0,노암3한라,39.762,201910,1,"7,400",11,2000,남부로125번길 7
강원도 강릉시 노암동,605,605,0,노암3한라,59.994,201910,2,"10,700",2,2000,남부로125번길 7
강원도 강릉시 노암동,605,605,0,노암3한라,59.994,201910,14,"9,700",14,2000,남부로125번길 7
강원도 강릉시 노암동,605,605,0,노암3한라,39.762,201910,22,"6,000",3,2000,남부로125번길 7
강원도 강릉시 노암동,605,605,0,노암3한라,74.64,201910,30,"13,000",8,2000,남부로125번길 7
강원도 강릉시 노암동,610,610,0,노암남산현대,84.99,201910,1,"15,700",12,1998,남부로125번길 11
강원도 강릉시 노암동,610,610,0,노암남산현대,84.99,201910,5,"12,900",12,1998,남부로125번길 11
강원도 강릉시 노암동,610,610,0,노암남산현대,59.84,201910,19,"11,300",6,1998,남부로125번길 11
강원도 강릉시 노암동,610,610,0,노암남산현대,84.99,201910,24,"13,200",4,1998,남부로125번길 11
강원도 강릉시 노암동,711,711,0,신화,84.954,201910,31,"13,700",1,1998,강변로 270
강원도 강릉시 노암동,844,844,0,양우내안애,114.6085,201910,5,"24,800",12,2009,강변로 328-8
강원도 강릉시 노암동,844,844,0,양우내안애,114.6085,201910,7,"24,800",7,2009,강변로 328-8
강원도 강릉시 노암동,844,844,0,양우내안애,59.6927,201910,12,"16,800",12,2009,강변로 328-8
강원도 강릉시 노암동,366,366,0,영진노암2차,49.525,201910,4,"5,700",2,1994,남부로163번길 20
